COSEWIC common name,COSEWIC population,cosewic_match,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Mountain Sucker,,Mountain Sucker,Non-active,2010-11-26,Catostomus platyrhynchus,,,No Status,,No schedule,,"Alberta, British Columbia, Saskatchewan",Fishes (freshwater),,
Mountain Sucker,Milk River populations,Mountain Sucker (Milk River populations),Non-active,2022-12-03,Catostomus platyrhynchus,Mountain Sucker,Milk River populations,Threatened,2017-04-13,Schedule 1,2017-04-13,"Alberta, Saskatchewan",Fishes (freshwater),,Added to list
Mountain Sucker,Pacific populations,Mountain Sucker (Pacific populations),Non-active,2022-12-03,Catostomus platyrhynchus,Mountain Sucker,Pacific populations,Special Concern,2017-04-13,Schedule 1,2017-04-13,British Columbia,Fishes (freshwater),,Added to list
Mountain Sucker,Saskatchewan - Nelson River populations,Mountain Sucker (Saskatchewan - Nelson River populations),Non-active,2022-12-03,Catostomus platyrhynchus,,,No Status,,No schedule,,"Alberta, Saskatchewan",Fishes (freshwater),,
Mudpuppy,,Mudpuppy,Non-active,2023-12-01,Necturus maculosus,,,No Status,,No schedule,,"Manitoba, Ontario, Quebec",Amphibians,,
Mudpuppy,Great Lakes / St. Lawrence population,Mudpuppy (Great Lakes / St. Lawrence population),Special Concern,2023-12-01,Necturus maculosus,Mudpuppy,Great Lakes / St. Lawrence population,No Status,,No schedule,,"Ontario, Quebec",Amphibians,Addition,Pending
Mudpuppy,Manitoba population,Mudpuppy (Manitoba population),Threatened,2023-12-01,Necturus maculosus,Mudpuppy,Manitoba population,No Status,,No schedule,,Manitoba,Amphibians,Addition,Pending
Muhlenberg's Centaury,,Muhlenberg's Centaury,Endangered,2008-04-25,Centaurium muehlenbergii,Muhlenberg's Centaury,,Endangered,2010-02-23,Schedule 1,2010-02-23,British Columbia,Vascular Plants,,Added to list
Nahanni Aster,,Nahanni Aster,Special Concern,2014-05-02,Symphyotrichum nahanniense,Nahanni Aster,,Special Concern,2018-02-02,Schedule 1,2018-02-02,Northwest Territories,Vascular Plants,,Added to list
Narrow-leaved Wallflower,,Narrow-leaved Wallflower,Not at Risk,1993-04-01,Erysimum angustatum,,,No Status,,No schedule,,Yukon,Vascular Plants,,
